140010109,LOS DOS PILARES,R,204640.813,1025524.56,14001,
140010111,LAS BARRANQUITAS,R,205034.913,1024958.356,14001,
140010112,LA CALESA (PLAN DE CALDERON),R,204208.048,1025512.647,14001,
140010113,CAÑADA HONDA,R,204307.048,1025305.346,14001,
140010114,TEPATITLAN [CLUB CAZADORES],R,204233,1025454,14001,
140010115,COFRADIA CHICA,R,204707.6,1025542.873,14001,
140010116,LA COPETONA,R,204604.919,1025537.928,14001,
140010117,LA ESCOPETA,R,204201.659,1025605.516,14001,
140010118,LA ESPERANZA,R,204445.592,1025053.033,14001,
140010119,GENPRO [LA LECHONERA],R,204204.895,1025503.075,14001,
140010120,VERDE VALLE [GRANJA],R,204219.675,1025700.666,14001,
140010121,EL REFUGIO [GRANJA],R,204232.912,1025312.392,14001,
140010122,NINGUNO [GRANJA RANCHO NUEVO],R,204400.023,1025320.972,14001,
140010123,LA JOYA (AVICOLA LA JOYA),R,204133.227,1025908.281,14001,
140010126,LA MAJADA,R,204702,1030053,14001,
140010127,LAS MESAS,R,204937.515,1024855.833,14001,
140010128,LA MOJONERA,R,204712.86,1030057.855,14001,
140010129,LA ORDEÑA,R,204210.885,1025504.956,14001,
140010130,EL PITAHAYO,R,205054,1025405,14001,
140010131,EL PITAHAYO,R,204658.467,1030014.077,14001,
140010132,LA PRESA DE LA JOYA,R,204247.497,1025824.783,14001,
140010133,RANCHO ALEGRE,R,204201.867,1025546.691,14001,
140010135,EL SALTILLO,R,204724.233,1025512.282,14001,
140010137,EL TANQUE,R,204250.746,1025317.221,14001,
140010138,TIERRA BLANCA,R,204152.752,1025501.375,14001,
140010139,LAS TORTUGAS,R,204234.396,1025809.826,14001,
140010140,EL ROBLE,R,205019.852,1025033.691,14001,
140010141,SAN PABLO,R,204950.52,1024842.462,14001,
140010142,ACATIC (COLONIA LA PREPA),R,204738.62,1025445.85,14001,
140010143,LA CANDELARIA,R,204827.32,1025200.47,14001,
140020001,ACATLAN DE JUAREZ,U,202517,1033514,14002,
140020002,BELLAVISTA,U,202601,1033806,14002,
140020004,EL PLAN (EL CERRITO),U,202503,1033620,14002,
140020005,SAN JOSE DE LOS POZOS,R,202101.397,1033410.869,14002,
140020007,SAN PEDRO VALENCIA,R,202809.013,1033845.821,14002,
140020008,EL COLOMO,R,202410.376,1033458.893,14002,
140020009,EL PLATANARILLO,R,202431.742,1033404.217,14002,
140020010,SANTA ANA [ESTACION],R,202444.534,1033658.019,14002,
140020011,SAN GERARDO [CAMPO DE BOMBEROS],R,202611.017,1033443.543,14002,
140020012,EL MALVASTE,R,202558.024,1033324.616,14002,
140020013,CRUCERO DE BELLAVISTA,R,202500.525,1033736.572,14002,
140020014,EL PANTANO,R,202327.917,1033431.218,14002,
140020015,EX-HACIENDA EL PLAN,R,202428.081,1033642.079,14002,
140020018,LOMA DEL PANTEON,R,202430.742,1033539.537,14002,
140020019,EL ARIETE,R,202923.225,1033828.124,14002,
140020020,BANCO DE MATERIAL (BANCO NUEVO),R,202146.437,1033336.142,14002,
140020021,LOS CASTILLOS (LAS TORRECILLAS),R,202303.434,1033530.309,14002,
140020022,CHAMALDITAN,R,202248.153,1033410.129,14002,
